id,compound_word,word1,word2,sandhi_type,rule_id
1,वृद्धिरादैच्,वृद्धिः,आदैच्,visarga,11001.0
2,इको गुणवृद्धी,इकः,गुणवृद्धी,visarga,11003.0
3,न धातुलोप आर्धधातुके,न,धातुलोपे,consonant,11004.0
4,ग्क्ङिति च,क्क्ङिति,च,consonant,11005.0
5,हलोऽनन्तराः संयोगः,हलः,अनन्तराः,visarga,11007.0
6,मुखनासिकावचनोऽनुनासिकः,मुखनासिकावचनः,अनुनासिकः,visarga,11008.0
7,नाज्झलौ,न्,अज्झलौ,consonant,11010.0
8,अदसो मात्,अदसः,मात्,visarga,11012.0
9,निपात एकाजनाङ्,निपातः,एकाच्,consonant,11014.0
10,सम्बुद्धौ शाकल्यस्येतावनार्षे,सम्बुद्धौ,शाकल्यस्य,consonant,11016.0
11,दाधा घ्वदाप्,दाधा,घु,consonant,11020.0
12,आद्यन्तवदेकस्मिन्,आद्यन्तवत्,एकस्मिन्,consonant,11021.0
13,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,प्रथमचरमतयाल्पार्धकतिपयनेमाः,च,visarga,11033.0
14,पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि,व्यवस्थायाम्,consonant,11034.0
15,स्वमज्ञातिधनाख्यायाम्,स्वम्,अज्ञातिधनाख्यायाम्,consonant,11035.0
16,स्वरादिनिपातमव्ययम्,स्वरादिनिपातम्,अव्ययम्,consonant,11037.0
17,तद्धितश्चासर्वविभक्तिः,तद्धितः,च,consonant,11038.0
18,कृन्मेजन्तः,कृत्,मेजन्तः,consonant,11039.0
19,अव्ययीभावश्च,अव्ययीभावः,च,visarga,11041.0
20,सुडनपुंसकस्य,सुट्,अनपुंसकस्य,consonant,11043.0
21,न वेति विभाषा,न,वा,consonant,11044.0
22,इग्यणः सम्प्रसारणम्,इक्,यणः,consonant,11045.0
23,मिदचोऽन्त्यात्परः,मित्,अचः,consonant,11047.0
24,एच इग्घ्रस्वादेशे,एचः,इक्,consonant,11048.0
25,स्थानेऽन्तरतमः,स्थाने,अन्तरतमः,vowel,11050.0
26,उरण् रपरः,उः,अण्,consonant,11051.0
27,अलोऽन्त्यस्य,अलः,अन्त्यस्य,visarga,11052.0
28,ङिच्च,ङित्,च,consonant,11053.0
29,स्थानिवदादेशोऽनल्विधौ,स्थानिवत्,आदेशः,consonant,11056.0
30,द्विर्वचनेऽचि,द्विर्वचने,अचि,vowel,11059.0
31,न लुमताऽङ्गस्य,न,लुमता,consonant,11063.0
32,अचोऽन्त्यादि टि,अचः,अन्त्यादि,consonant,11064.0
33,अलोऽन्त्यात् पूर्व उपधा,अलः,अन्त्यात्,consonant,11065.0
34,तस्मिन्निति निर्दिष्टे पूर्वस्य,तस्मिन्,इति,consonant,11066.0
35,तस्मादित्युत्तरस्य,तस्मात्,इति,consonant,11067.0
36,स्वं रूपं शब्दस्याशब्दसंज्ञा,स्वम्,रूपम्,consonant,11068.0
37,अणुदित् सवर्णस्य चाप्रत्ययः,अणुदित्,सवर्णस्य,consonant,11069.0
38,तपरस्तत्कालस्य,तपरः,तत्कालस्य,visarga,11070.0
39,आदिरन्त्येन सहेता,आदिः,अन्त्येन,consonant,11071.0
40,येन विधिस्तदन्तस्य,येन,विधिः,consonant,11072.0
41,वृद्धिर्यस्याचामादिस्तद् वृद्धम्,वृद्धिः,यस्य,consonant,11073.0
42,एङ् प्राचां देशे,एङ्,प्राचाम्,consonant,11075.0
43,विज इट्,विजः,इट्,visarga,12002.0
44,विभाषोर्णोः,विभाषा,ऊर्णोः,vowel,12003.0
45,सार्वधातुकमपित्,सार्वधातुकम्,अपित्,consonant,12004.0
46,असंयोगाल्लिट् कित्,असंयोगात्,लिट्,consonant,12005.0
47,रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च,रुदविदमुषग्रहिस्वपिप्रच्छः,सन्,consonant,12008.0
48,इको झल्,इकः,झल्,visarga,12009.0
49,हलन्ताच्च,हलन्तात्,च,consonant,12010.0
50,उश्च,उः,च,visarga,12012.0
51,यमो गन्धने,यमः,गन्धने,visarga,12015.0
52,विभाषोपयमने,विभाषा,उपयमने,vowel,12016.0
53,मृषस्तितिक्षायाम्,मृषः,तितिक्षायाम्,visarga,12020.0
54,उदुपधाद्भावादिकर्मणोरन्यतरस्याम्,उदुपधात्,भावादिकर्मणोः,consonant,12021.0
55,नोपधात्थफान्ताद्वा,नोपधात्,थफान्तात्,consonant,12023.0
56,वञ्चिलुञ्च्यृतश्च,वञ्चिलुञ्च्यृतः,च,visarga,12024.0
57,रलो व्युपधाद्धलादेः संश्च,रलः,व्युपधाद्त्,consonant,12026.0
58,ऊकालोऽज्झ्रस्वदीर्घप्लुतः,ऊकालः,अच्,consonant,12027.0
59,अचश्च,अचः,च,visarga,12028.0
60,उच्चैरुदात्तः,उच्चैः,उदात्तः,visarga,12029.0
61,नीचैरनुदात्तः,नीचैः,अनुदात्तः,visarga,12030.0
62,तस्यादित उदात्तमर्धह्रस्वम्,तस्य,आदितः,consonant,12032.0
63,यज्ञकर्मण्यजपन्यूङ्खसामसु,यज्ञकर्मणि,अयजपन्यूङ्खसामसु,vowel,12034.0
64,उच्चैस्तरां वा वषट्कारः,उच्चैस्तराम्,वा,consonant,12035.0
65,न सुब्रह्मण्यायां स्वरितस्य तूदात्तः,न,सुब्रह्मण्यायाम्,consonant,12037.0
66,देवब्रह्मणोरनुदात्तः,देवब्रह्मणोः,अनुदात्तः,visarga,12038.0
67,स्वरितात् संहितायामनुदात्तानाम्,स्वरितात्,संहितायाम्,consonant,12039.0
68,अपृक्त एकाल् प्रत्ययः,अपृक्तः,एकाल्,consonant,12041.0
69,प्रथमानिर्दिष्टं समास उपसर्जनम्,प्रथमानिर्दिष्टम्,समासे,consonant,12043.0
70,एकविभक्ति चापूर्वनिपाते,एकविभक्ति,च,consonant,12044.0
71,अर्थवदधातुरप्रत्ययः प्रातिपदिकम्,अर्थवत्,अधातुः,consonant,12045.0
72,कृत्तद्धितसमासाश्च,कृत्तद्धितसमासाः,च,visarga,12046.0
73,ह्रस्वो नपुंसके प्रातिपदिकस्य,ह्रस्वः,नपुंसके,consonant,12047.0
74,गोस्त्रियोरुपसर्ज्जनस्य,गोस्त्रियोः,उपसर्जनस्य,visarga,12048.0
75,इद्गोण्याः,इत्,गोण्याः,consonant,12050.0
76,लुपि युक्तवद्व्यक्तिवचने,लुपि,युक्तवत्,consonant,12051.0
77,विशेषणानां चाजातेः,विशेषणानाम्,च,consonant,12052.0
78,तदशिष्यं संज्ञाप्रमाणत्वात्,तत्,अशिष्यम्,consonant,12053.0
79,लुब्योगाप्रख्यानात्,लुप्,योगाप्रख्यानात्,consonant,12054.0
80,योगप्रमाणे च तदभावेऽदर्शनं स्यात्,योगप्रमाणे,च,consonant,12055.0
81,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्,प्रधानप्रत्ययार्थवचनम्,अर्थस्य,consonant,12056.0
82,जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्,जात्याख्यायाम्,एकस्मिन्,consonant,12058.0
83,अस्मदो द्वायोश्च,अस्मदः,द्वायोः,visarga,12059.0
84,फल्गुनीप्रोष्ठपदानां च नक्षत्रे,फल्गुनीप्रोष्ठपदानाम्,च,consonant,12060.0
85,छन्दसि पुनर्वस्वोरेकवचनम्,छन्दसि,पुनर्वस्वोः,consonant,12061.0
86,विशाखयोश्च,विशाखयोः,च,visarga,12062.0
87,तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य,तिष्यपुनर्वस्वोः,नक्षत्रद्वंद्वे,consonant,12063.0
88,सरूपाणामेकशेष एकविभक्तौ,सरूपाणाम्,एकशेषः,consonant,12064.0
89,वृद्धो यूना तल्लक्षणश्चेदेव विशेषः,वृद्धः,यूना,consonant,12065.0
90,स्त्री पुंवच्च,स्त्री,पुंवत्,consonant,12066.0
